일자,년,월,일,요일,휴일전날,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,식사가능자수,중식계,석식계,중식참여율,석식참여율,체감온도(중식),불쾌지수(중식),우산(중식),체감온도(석식),불쾌지수(석식),우산(석식),코로나신규확진자,거리두기단계
2016-05-23,2016,5,23,0,0,2635,88,203,362,0,2344,1160,613,0.4948805460750853,0.261518771331058,28.1,69,0,28.1,69,0,0,0.0
2016-05-24,2016,5,24,1,0,2635,74,234,310,0,2327,1107,465,0.47571981091534166,0.19982810485603783,21.6,66,1,21.6,66,1,0,0.0
2016-05-25,2016,5,25,2,0,2635,72,258,0,0,2305,938,454,0.406941431670282,0.19696312364425161,26.5,70,0,26.5,70,0,0,0.0
2016-05-26,2016,5,26,3,0,2635,64,285,227,0,2286,783,520,0.3425196850393701,0.2274715660542432,27.8,70,0,27.8,70,0,0,0.0
2016-05-27,2016,5,27,4,0,2635,163,291,61,0,2181,660,493,0.30261348005502064,0.2260430994956442,29.3,71,0,29.3,71,0,0,0.0
2016-05-30,2016,5,30,0,0,2635,73,215,291,0,2347,1231,631,0.5244993608862377,0.2688538559863656,30.7,73,0,30.7,73,0,0,0.0
2016-05-31,2016,5,31,1,0,2635,50,250,185,0,2335,921,535,0.3944325481798715,0.2291220556745182,29.8,72,0,29.8,72,0,0,0.0
2016-06-01,2016,6,1,2,0,2637,75,245,0,0,2317,916,490,0.395338800172637,0.21148036253776434,25.5,69,0,25.5,69,0,0,0.0
2016-06-02,2016,6,2,3,0,2637,81,258,301,0,2298,850,483,0.3698868581375109,0.21018276762402088,26.5,68,0,26.5,68,0,0,0.0
2016-06-03,2016,6,3,4,1,2637,191,268,64,0,2178,721,548,0.3310376492194674,0.2516069788797062,29.1,72,0,29.1,72,0,0,0.0
2016-06-07,2016,6,7,1,0,2637,115,192,389,0,2330,1244,629,0.5339055793991416,0.26995708154506437,26.5,71,0,26.5,71,0,0,0.0
2016-06-08,2016,6,8,2,0,2637,58,240,0,0,2339,931,500,0.3980333475844378,0.21376656690893545,25.8,71,0,25.8,71,0,0,0.0
2016-06-09,2016,6,9,3,0,2637,69,252,359,0,2316,829,506,0.3579447322970639,0.21848013816925735,27.6,73,0,27.6,73,0,0,0.0
2016-06-10,2016,6,10,4,0,2637,151,270,61,0,2216,697,509,0.3145306859205776,0.22969314079422382,27.2,72,0,27.2,72,0,0,0.0
2016-06-13,2016,6,13,0,0,2637,98,209,415,0,2330,1243,590,0.5334763948497854,0.2532188841201717,29.0,74,0,29.0,74,0,0,0.0
2016-06-14,2016,6,14,1,0,2637,56,241,432,0,2340,973,593,0.41581196581196583,0.2534188034188034,28.7,73,0,28.7,73,0,0,0.0
2016-06-15,2016,6,15,2,0,2637,60,260,0,0,2317,984,535,0.4246870953819594,0.23090202848511004,24.9,70,0,24.9,70,0,0,0.0
2016-06-16,2016,6,16,3,0,2637,73,263,336,0,2301,800,524,0.3476749239461104,0.2277270751847023,29.1,73,0,29.1,73,0,0,0.0
2016-06-17,2016,6,17,4,0,2637,165,291,60,0,2181,694,484,0.3182026593305823,0.22191655204034846,29.3,72,0,29.3,72,0,0,0.0
2016-06-20,2016,6,20,0,0,2637,101,257,344,0,2279,1146,585,0.5028521281263713,0.2566915313734094,26.6,73,1,26.6,73,1,0,0.0
2016-06-21,2016,6,21,1,0,2637,49,248,349,0,2340,1091,645,0.46623931623931625,0.27564102564102566,24.5,70,1,24.5,70,1,0,0.0
2016-06-22,2016,6,22,2,0,2637,47,258,0,0,2332,1022,467,0.43825042881646653,0.20025728987993138,24.2,70,1,24.2,70,1,0,0.0
2016-06-23,2016,6,23,3,0,2637,53,271,346,0,2313,877,588,0.3791612624297449,0.25421530479896237,29.0,74,0,29.0,74,0,0,0.0
2016-06-24,2016,6,24,4,0,2637,169,284,52,0,2184,805,475,0.3685897435897436,0.2174908424908425,24.0,70,1,24.0,70,1,0,0.0
2016-06-27,2016,6,27,0,0,2637,96,227,300,0,2314,1142,609,0.49351771823681934,0.263180639585134,26.1,71,0,26.1,71,0,0,0.0
2016-06-28,2016,6,28,1,0,2637,63,253,226,0,2321,917,535,0.3950883239982766,0.23050409306333478,26.6,71,0,26.6,71,0,0,0.0
2016-06-29,2016,6,29,2,0,2637,67,248,0,0,2322,820,487,0.35314384151593453,0.20973298880275623,27.0,72,0,27.0,72,0,0,0.0
2016-06-30,2016,6,30,3,0,2637,76,247,151,0,2314,886,446,0.3828867761452031,0.19273984442523767,28.8,75,1,28.8,75,1,0,0.0
2016-07-01,2016,7,1,4,0,2643,145,215,41,0,2283,879,513,0.38501971090670173,0.22470433639947437,26.2,73,1,26.2,73,1,0,0.0
2016-07-04,2016,7,4,0,0,2643,88,190,385,0,2365,1292,582,0.5463002114164904,0.24608879492600422,28.3,76,0,28.3,76,0,0,0.0
2016-07-05,2016,7,5,1,0,2643,55,226,376,0,2362,952,551,0.40304826418289585,0.23327688399661303,30.8,79,0,30.8,79,0,0,0.0
2016-07-06,2016,7,6,2,0,2643,56,224,0,0,2363,939,484,0.39737621667371986,0.20482437579348287,31.3,79,0,31.3,79,0,0,0.0
2016-07-07,2016,7,7,3,0,2643,64,238,340,0,2341,857,494,0.36608287056813327,0.21102093122597182,30.7,78,0,30.7,78,0,0,0.0
2016-07-08,2016,7,8,4,0,2643,155,260,60,0,2228,863,534,0.387342908438061,0.23967684021543986,29.4,76,0,29.4,76,0,0,0.0
2016-07-11,2016,7,11,0,0,2643,121,210,366,0,2312,1115,630,0.48226643598615915,0.27249134948096887,28.6,76,1,28.6,76,1,0,0.0
2016-07-12,2016,7,12,1,0,2643,72,223,382,0,2348,919,519,0.391396933560477,0.22103918228279387,28.1,75,0,28.1,75,0,0,0.0
2016-07-13,2016,7,13,2,0,2643,79,241,0,0,2323,866,483,0.3727938011192424,0.2079207920792079,30.6,77,0,30.6,77,0,0,0.0
2016-07-14,2016,7,14,3,0,2643,84,252,308,0,2307,781,550,0.3385348938014738,0.23840485478977028,32.0,76,0,32.0,76,0,0,0.0
2016-07-15,2016,7,15,4,0,2643,189,261,55,0,2193,867,503,0.3953488372093023,0.22936616507067945,28.6,73,1,28.6,73,1,0,0.0
2016-07-18,2016,7,18,0,0,2643,126,208,343,0,2309,1158,596,0.5015158077089649,0.2581203984408835,29.9,75,0,29.9,75,0,0,0.0
2016-07-19,2016,7,19,1,0,2643,111,233,263,0,2299,888,424,0.3862548934319269,0.18442801217920834,30.1,76,0,30.1,76,0,0,0.0
2016-07-20,2016,7,20,2,0,2643,124,238,0,0,2281,844,443,0.3700131521262604,0.19421306444541866,30.1,76,0,30.1,76,0,0,0.0
2016-07-21,2016,7,21,3,0,2643,115,255,263,0,2273,733,446,0.3224813022437307,0.19621645402551693,29.7,75,0,29.7,75,0,0,0.0
2016-07-22,2016,7,22,4,0,2643,251,272,47,0,2120,661,501,0.3117924528301887,0.23632075471698114,28.3,74,0,28.3,74,0,0,0.0
2016-07-25,2016,7,25,0,0,2643,277,180,247,0,2186,1086,584,0.4967978042086002,0.26715462031107046,34.1,81,0,34.1,81,0,0,0.0
2016-07-26,2016,7,26,1,0,2643,260,185,269,0,2198,927,582,0.42174704276615105,0.26478616924476794,33.4,80,0,33.4,80,0,0,0.0
2016-07-27,2016,7,27,2,0,2643,299,192,0,0,2152,872,423,0.4052044609665427,0.19656133828996283,34.2,81,0,34.2,81,0,0,0.0
2016-07-28,2016,7,28,3,0,2643,340,204,197,0,2099,816,434,0.3887565507384469,0.2067651262505955,33.5,81,0,33.5,81,0,0,0.0
2016-07-29,2016,7,29,4,0,2643,486,207,36,0,1950,671,472,0.3441025641025641,0.24205128205128204,34.4,81,0,34.4,81,0,0,0.0
2016-08-01,2016,8,1,0,0,2644,512,109,238,0,2023,1055,510,0.5215027187345527,0.25210084033613445,34.9,81,0,34.9,81,0,0,0.0
2016-08-02,2016,8,2,1,0,2644,460,167,268,0,2017,829,515,0.4110064452156668,0.2553296975706495,32.8,80,0,32.8,80,0,0,0.0
2016-08-03,2016,8,3,2,0,2644,485,183,0,0,1976,802,363,0.4058704453441296,0.18370445344129555,31.3,78,0,31.3,78,0,0,0.0
2016-08-04,2016,8,4,3,0,2644,467,200,262,0,1977,671,456,0.33940313606474454,0.2306525037936267,32.5,79,0,32.5,79,0,0,0.0
2016-08-05,2016,8,5,4,0,2644,538,212,46,0,1894,641,448,0.3384371700105597,0.2365364308342133,33.5,79,0,33.5,79,0,0,0.0
2016-08-08,2016,8,8,0,0,2644,421,180,255,0,2043,1038,480,0.5080763582966226,0.23494860499265785,36.2,82,0,36.2,82,0,0,0.0
2016-08-09,2016,8,9,1,0,2644,392,182,286,0,2070,874,470,0.4222222222222222,0.22705314009661837,33.6,80,0,33.6,80,0,0,0.0
2016-08-10,2016,8,10,2,0,2644,411,188,0,0,2045,842,451,0.4117359413202934,0.22053789731051346,35.1,81,0,35.1,81,0,0,0.0
2016-08-11,2016,8,11,3,0,2644,413,202,295,0,2029,845,530,0.41646131099063577,0.26121241991128635,36.6,83,0,36.6,83,0,0,0.0
2016-08-12,2016,8,12,4,1,2644,587,215,60,0,1842,708,410,0.38436482084690554,0.22258414766558088,37.4,83,0,37.4,83,0,0,0.0
2016-08-16,2016,8,16,1,0,2644,352,177,351,0,2115,1023,561,0.4836879432624113,0.2652482269503546,34.4,80,0,34.4,80,0,0,0.0
2016-08-17,2016,8,17,2,0,2644,311,191,0,0,2142,924,465,0.43137254901960786,0.21708683473389356,33.9,80,0,33.9,80,0,0,0.0
2016-08-18,2016,8,18,3,0,2644,274,215,364,0,2155,943,574,0.43758700696055686,0.26635730858468676,33.1,79,0,33.1,79,0,0,0.0
2016-08-19,2016,8,19,4,0,2644,345,237,59,0,2062,754,532,0.36566440349175555,0.2580019398642095,34.0,79,0,34.0,79,0,0,0.0
2016-08-22,2016,8,22,0,0,2644,115,159,458,0,2370,1266,729,0.5341772151898734,0.30759493670886073,34.6,79,0,34.6,79,0,0,0.0
2016-08-23,2016,8,23,1,0,2644,86,211,386,0,2347,1145,563,0.4878568385172561,0.23988069876438006,30.7,77,0,30.7,77,0,0,0.0
2016-08-24,2016,8,24,2,0,2644,113,209,0,0,2322,941,588,0.4052540913006029,0.2532299741602067,34.3,77,0,34.3,77,0,0,0.0
2016-08-25,2016,8,25,3,0,2644,123,241,308,0,2280,885,508,0.3881578947368421,0.22280701754385965,33.4,78,0,33.4,78,0,0,0.0
2016-08-26,2016,8,26,4,0,2644,194,269,70,0,2181,813,489,0.37276478679504815,0.22420907840440166,27.9,74,1,27.9,74,1,0,0.0
2016-08-29,2016,8,29,0,0,2644,132,202,352,0,2310,1258,568,0.5445887445887446,0.24588744588744588,26.5,70,0,26.5,70,0,0,0.0
2016-08-30,2016,8,30,1,0,2644,96,242,268,0,2306,901,514,0.3907198612315698,0.22289679098005205,26.4,70,0,26.4,70,0,0,0.0
2016-08-31,2016,8,31,2,0,2644,98,236,0,0,2310,915,498,0.3961038961038961,0.21558441558441557,29.2,71,0,29.2,71,0,0,0.0
2016-09-01,2016,9,1,3,0,2769,99,250,336,0,2420,953,468,0.39380165289256197,0.1933884297520661,30.9,75,0,30.9,75,0,0,0.0
2016-09-02,2016,9,2,4,0,2769,177,279,76,0,2313,832,460,0.359706009511457,0.19887591872027668,21.3,65,1,21.3,65,1,0,0.0
2016-09-05,2016,9,5,0,0,2769,100,225,447,0,2444,1164,554,0.4762684124386252,0.22667757774140754,29.6,76,0,29.6,76,0,0,0.0
2016-09-06,2016,9,6,1,0,2769,59,253,477,0,2457,784,560,0.3190883190883191,0.22792022792022792,28.9,75,0,28.9,75,0,0,0.0
2016-09-07,2016,9,7,2,0,2769,65,241,0,0,2463,926,504,0.3759642712139667,0.2046285018270402,28.7,75,0,28.7,75,0,0,0.0
2016-09-08,2016,9,8,3,0,2769,69,255,438,0,2445,758,548,0.3100204498977505,0.22413087934560327,29.5,73,0,29.5,73,0,0,0.0
2016-09-09,2016,9,9,4,0,2769,137,288,86,0,2344,682,485,0.2909556313993174,0.2069112627986348,29.1,74,0,29.1,74,0,0,0.0
2016-09-12,2016,9,12,0,0,2769,328,176,306,0,2265,924,504,0.40794701986754967,0.22251655629139072,22.6,67,1,22.6,67,1,0,0.0
2016-09-13,2016,9,13,1,1,2769,511,108,52,0,2150,820,238,0.3813953488372093,0.11069767441860465,28.1,73,0,28.1,73,0,0,0.0
2016-09-19,2016,9,19,0,0,2769,167,180,550,0,2422,1271,662,0.5247729149463254,0.27332782824112306,23.4,67,0,23.4,67,0,0,0.0
2016-09-20,2016,9,20,1,0,2769,69,227,588,0,2473,1039,627,0.4201374848362313,0.253538212697129,23.8,66,0,23.8,66,0,0,0.0
2016-09-21,2016,9,21,2,0,2769,58,246,0,0,2465,1068,603,0.4332657200811359,0.24462474645030427,24.5,67,0,24.5,67,0,0,0.0
2016-09-22,2016,9,22,3,0,2769,137,253,403,0,2379,891,533,0.3745271122320303,0.22404371584699453,23.4,67,0,23.4,67,0,0,0.0
2016-09-23,2016,9,23,4,0,2769,165,278,99,0,2326,716,562,0.30782459157351677,0.2416165090283749,26.4,71,0,26.4,71,0,0,0.0
2016-09-26,2016,9,26,0,0,2769,70,224,494,0,2475,1185,710,0.47878787878787876,0.2868686868686869,25.9,71,0,25.9,71,0,0,0.0
2016-09-27,2016,9,27,1,0,2769,56,233,380,0,2480,1033,550,0.4165322580645161,0.2217741935483871,27.8,74,0,27.8,74,0,0,0.0
2016-09-28,2016,9,28,2,0,2769,50,225,0,0,2494,1128,591,0.45228548516439454,0.23696872493985566,26.3,72,1,26.3,72,1,0,0.0
2016-09-29,2016,9,29,3,0,2769,153,227,331,0,2389,1044,622,0.4370029300962746,0.2603599832565927,20.7,65,1,20.7,65,1,0,0.0
2016-09-30,2016,9,30,4,1,2769,158,256,59,0,2355,843,539,0.3579617834394904,0.2288747346072187,18.7,61,1,18.7,61,1,0,0.0
2016-10-04,2016,10,4,1,0,2670,59,239,1035,0,2372,1262,902,0.5320404721753794,0.3802698145025295,28.9,74,0,28.9,74,0,0,0.0
2016-10-05,2016,10,5,2,0,2670,41,228,0,0,2401,1336,905,0.5564348188254894,0.3769262807163682,23.5,68,1,23.5,68,1,0,0.0
2016-10-06,2016,10,6,3,0,2670,56,245,378,0,2369,1196,352,0.5048543689320388,0.14858590122414522,27.4,70,0,27.4,70,0,0,0.0
2016-10-07,2016,10,7,4,0,2670,144,252,80,0,2274,843,554,0.370712401055409,0.2436235708003518,23.6,67,0,23.6,67,0,0,0.0
2016-10-10,2016,10,10,0,0,2670,104,216,443,0,2350,1180,546,0.502127659574468,0.2323404255319149,20.4,63,0,20.4,63,0,0,0.0
2016-10-11,2016,10,11,1,0,2670,69,256,386,0,2345,1014,522,0.432409381663113,0.22260127931769721,18.9,61,0,18.9,61,0,0,0.0
2016-10-12,2016,10,12,2,0,2670,64,251,0,0,2355,951,527,0.40382165605095544,0.2237791932059448,22.8,65,0,22.8,65,0,0,0.0
2016-10-13,2016,10,13,3,0,2670,66,262,612,0,2342,1051,667,0.4487617421007686,0.284799316823228,20.3,63,0,20.3,63,0,0,0.0
2016-10-14,2016,10,14,4,0,2670,144,265,172,0,2261,898,544,0.39716939407341884,0.24060150375939848,22.0,64,0,22.0,64,0,0,0.0
2016-10-17,2016,10,17,0,0,2670,107,241,425,0,2322,1196,527,0.5150732127476314,0.22695951765719208,22.3,66,0,22.3,66,0,0,0.0
2016-10-18,2016,10,18,1,0,2670,53,262,394,0,2355,994,544,0.4220806794055202,0.23099787685774947,21.9,65,0,21.9,65,0,0,0.0
2016-10-19,2016,10,19,2,0,2670,72,267,0,0,2331,933,475,0.40025740025740025,0.20377520377520378,22.6,66,0,22.6,66,0,0,0.0
2016-10-20,2016,10,20,3,0,2670,105,269,281,0,2296,787,564,0.34277003484320556,0.2456445993031359,22.6,65,0,22.6,65,0,0,0.0
2016-10-21,2016,10,21,4,0,2670,228,280,62,0,2162,760,442,0.3515263644773358,0.20444033302497688,19.8,63,0,19.8,63,0,0,0.0
2016-10-24,2016,10,24,0,0,2670,120,223,367,0,2327,1171,600,0.5032230339492909,0.2578427159432746,19.3,62,0,19.3,62,0,0,0.0
2016-10-25,2016,10,25,1,0,2670,73,259,345,0,2338,1028,559,0.43969204448246363,0.23909324208725408,18.5,61,1,18.5,61,1,0,0.0
