,일자,석식메뉴
18,2016-03-02,"['버섯불고기', '된장찌개', '잡곡밥', '양념깻잎지', '콩나물겨자채', '포기김치', '쌀밥']"
19,2016-03-03,"['떡볶이', '우동', '단무지', '멸치주먹밥', '군고구마', '포기김치']"
20,2016-03-04,"['오징어국', '부추생채', '잡곡밥', '옥수수전', '미트볼조림', '포기김치', '쌀밥']"
21,2016-03-07,"['감자채볶음', '대구찌개', '돈육굴소스볶음', '잡곡밥', '물파래무침', '포기김치', '쌀밥']"
22,2016-03-08,"['카레덮밥', '가쯔오장국', '수제고로케*케찹', '오복지', '과일샐러드', '포기김치']"
23,2016-03-09,"['생선까스*탈탈소스', '육개장', '잡곡밥', '야채계란찜', '포기김치', '콩나물무침', '쌀밥']"
24,2016-03-10,"['꼬들단무지', '개성감자만두', '타코야끼', '짬뽕', '볶음밥', '포기김치']"
25,2016-03-11,"['잡곡밥', '코다리무조림', '봄동겉절이', '고추잡채*꽃빵', '연두부탕', '포기김치', '쌀밥']"
26,2016-03-14,"['간장찜닭', '잡곡밥', '참나물생채', '달래된장찌개', '통도라지구이', '포기김치', '쌀밥']"
27,2016-03-15,"['꽃맛살샐러드', '짜장잡채덮밥', '오이무침', '계란파국', '포기김치', '참치야채전']"
28,2016-03-16,"['버섯메밀전', '잡곡밥', '야채스틱*쌈장', '해물청경채볶음', '뼈해장국', '포기김치', '쌀밥']"
29,2016-03-17,"['양송이스프', '미니햄버거', '음료', '무피클', '포기김치', '단호박범벅', '토마토스파게티']"
30,2016-03-18,"['어묵곤약볶음', '돌나물초장', '석박지', '잡곡밥', '임연수찜', '닭곰탕', '쌀밥']"
31,2016-03-21,"['잡곡밥', '수제비국', '아귀콩나물찜', '봄동겉절이', '새송이버섯볶음', '포기김치', '쌀밥']"
32,2016-03-22,"['궁중떡찜', '굴소스파인볶음밥', '가쯔오장국', '두반장가지나물', '포기김치', '찹쌀순대볶음']"
33,2016-03-23,"['마파두부', '동그랑땡전', '알탕', '잡곡밥', '시금치나물', '포기김치', '쌀밥']"
34,2016-03-24,"['미소장국', '군만두', '콘샐러드', '참치회덮밥', '바나나', '포기김치']"
35,2016-03-25,"['감자채볶음', '누룽지탕수육', '잡곡밥', '포기김치', '쌀밥', '청경채무침', '냉이된장찌개']"
36,2016-03-28,"['해물까스*탈탈소스', '도라지나물', '잡곡밥', '유산슬', '포기김치', '쌀밥', '콩비지찌개']"
37,2016-03-29,"['돈육씨앗강정', '유부장국', '해초무침', '깨찰빵', '햄볶음밥', '포기김치']"
38,2016-03-30,"['청포묵무침', '애호박나물', '등갈비김치찜', '깍두기', '잡곡밥', '쌀밥', '어묵국']"
39,2016-03-31,"['또띠아피자', '포기김치', '주먹밥', '잔치국수', '과일샐러드', '오이피클']"
40,2016-04-01,"['숙주미나리나물', '잡곡밥', '계란찜', '쇠고기미역국', '포기김치', '순살깐풍기', '쌀밥']"
41,2016-04-04,"['부추생채', '된장찌개', '잡곡밥', '고등어조림', '고기전', '포기김치', '쌀밥']"
42,2016-04-05,"['꽃맛살샐러드', '감자치즈구이', '깍두기', '가쯔오장국', '단무지', '김치볶음밥']"
43,2016-04-06,"['탕평채', '잡곡밥', '청경채생채', '찜닭', '매운버섯국', '포기김치', '쌀밥']"
44,2016-04-07,"['김밥', '우동', '오복지', '야채튀김', '포기김치', '조각사과']"
45,2016-04-08,"['오징어국', '잡곡밥', '멸치호두볶음', '포기김치', '쌀밥', '치커리사과무침', '미니함박']"
46,2016-04-11,"['가자미찜', '돌나물오이무침', '잡곡밥', '계란야채말이', '쇠고기무국', '포기김치', '쌀밥']"
47,2016-04-12,"['유부주머니국', '떡볶이', '단무지무침', '치킨마요덮밥', '포기김치', '오렌지']"
48,2016-04-14,"['팽이버섯장국', '비빔밥', '새우또띠아', '견과류조림', '피크닉', '포기김치']"
49,2016-04-15,"['수제돈가스', '잡곡밥', '감자범벅', '참나물생채', '들깨미역국', '무피클', '포기김치', '쌀밥']"
50,2016-04-18,"['잡곡밥', '유산슬', '꽃게탕', '두반장가지나물', '야채계란찜', '포기김치', '쌀밥']"
51,2016-04-19,"['유부장국', '꼬들단무지', '낙지비빔밥', '새싹피자', '과일샐러드', '포기김치']"
52,2016-04-20,"['잡곡밥', '새송이버섯전', '닭볶음탕', '시금치나물', '포기김치', '쌀밥', '어묵국']"
53,2016-04-21,"['오므라이스', '해물까스*탈탈소스', '피클', '쫄면무침', '팽이버섯국', '바나나', '포기김치']"
54,2016-04-22,"['순두부찌개', '잡곡밥', '취나물땅콩무침', '꽃맛살볶음', '탕수어', '포기김치', '쌀밥']"
55,2016-04-25,"['알탕', '세발나물', '잡곡밥', '모둠묵*양념장', '포기김치', '순살깐풍기', '쌀밥']"
56,2016-04-26,"['맑은국', '짜장덮밥', '쇠고기퀘사디아', '오이무침', '요플레', '단무지', '포기김치']"
57,2016-04-27,"['청국장찌개', '잡곡밥', '코다리무조림', '참나물', '비엔나케찹볶음', '포기김치', '쌀밥']"
58,2016-04-28,"['탕수만두', '가쯔오장국', '참치주먹밥', '포기김치', '오렌지', '비빔메밀국수']"
59,2016-04-29,"['들깨버섯탕', '시금치초장무침', '잡곡밥', '두부계란구이', '고추잡채*꽃빵', '포기김치', '쌀밥']"
60,2016-05-02,"['잡곡밥', '날치알계란찜', '북어국', '포기김치', '고추장불고기', '모듬양채쌈', '쌀밥']"
61,2016-05-03,"['열무김치', '잡곡밥', '삼치구이', '탕수육', '미역줄기볶음', '부대찌개*라면사리', '쌀밥']"
62,2016-05-04,"['미소장국', '카레덮밥', '수제미니햄버거', '사과', '오이소박이', '오렌지쥬스', '포기김치']"
63,2016-05-09,"['모둠소시지구이', '잡곡밥', '오이무침', '닭개장', '가자미튀김', '포기김치', '쌀밥']"
64,2016-05-10,"['가쯔오국', '감자만두', '계란', '바나나', '김치볶음밥', '포기김치', '찹쌀순대볶음']"
65,2016-05-11,"['열무김치', '양념깻잎지', '잡곡밥', '해물누룽지탕', '치즈계란말이', '쌀밥', '콩비지찌개']"
66,2016-05-12,"['컵주스', '돈까스김밥', '마늘쫑무침', '잔치국수', '포기김치', '멕시칸샐러드']"
67,2016-05-13,"['잡곡밥', '코다리강정', '얼갈이나물', '쇠고기무국', '포기김치', '잡채', '쌀밥']"
68,2016-05-16,"['부추생채', '잡곡밥', '닭곰탕', '주꾸미볶음', '두부계란부침', '포기김치', '쌀밥']"
69,2016-05-17,"['또띠아칩', '떡볶이', '군만두', '우동', '유부초밥', '포기김치', '오렌지']"
70,2016-05-18,"['시금치무침', '석박지', '메추리알조림', '잡곡밥', '황태양념구이', '뼈해장국', '쌀밥']"
71,2016-05-19,"['팽이장국', '새우살볶음밥', '슈크림', '사천식탕수육', '포기김치', '콩나물무침']"
72,2016-05-20,"['꽁치허브구이', '육개장', '잡곡밥', '비엔나케찹볶음', '참나물무침', '포기김치', '쌀밥']"
73,2016-05-23,"['데리야끼파닭', '아삭고추무침', '잡곡밥', '수제비국', '새송이버섯볶음', '포기김치', '쌀밥']"
74,2016-05-24,"['맑은국', '방울토마토', '고구마치즈구이', '참치회덮밥', '포기김치', '락교']"
75,2016-05-25,"['해물까스*탈탈소스', '등갈비김치찜', '도라지나물', '된장찌개', '잡곡밥', '오이소박이', '쌀밥']"
76,2016-05-26,"['춘권*칠리소스', '쨔샤이무침', '짜장잡채밥', '계란파국', '과일샐러드', '포기김치']"
77,2016-05-27,"['잡곡밥', '꽃게탕', '계란말이', '연두부*새싹장', '돈육청경채볶음', '포기김치', '쌀밥']"
78,2016-05-30,"['미니함박조림', '잡곡밥', '해물순두부찌개', '숙주나물', '도토리묵무침', '포기김치', '쌀밥']"
79,2016-05-31,"['꽃맛살샐러드', '수제고로케*케찹', '참치주먹밥', '무피클', '쌀국수', '포기김치']"
80,2016-06-01,"['잡곡밥', '감자채햄볶음', '양배추쌈', '포기김치', '쌀밥', '고추장불고기', '어묵국']"
81,2016-06-02,"['땅콩조림', '유부장국', '배추겉절이', '날치알볶음밥', '고추잡채*꽃빵', '오렌지']"
82,2016-06-03,"['주꾸미무침', '시래기국', '잡곡밥', '수제돈까스', '포기김치', '오이피클', '단호박범벅', '쌀밥']"
83,2016-06-07,"['미트볼케찹조림', '가쯔오장국', '계란찜', '마늘쫑무침', '포기김치', '콩나물밥*양념장']"
84,2016-06-08,"['우엉잡채', '상추겉절이', '육개장', '잡곡밥', '자반고등어구이', '포기김치', '쌀밥']"
85,2016-06-09,"['석박지', '방울토마토', '충무김밥', '열무물국수', '야채튀김', '오징어무침']"
86,2016-06-10,"['버섯불고기', '잡곡밥', '참나물', '두부조림', '포기김치', '쌀밥', '어묵국']"
87,2016-06-13,"['들깨버섯탕', '아삭고추무침', '잡곡밥', '햄맛살볶음', '삼치데리야끼구이', '포기김치', '쌀밥']"
88,2016-06-14,"['오므라이스', '미소장국', '군만두', '훈제오리냉채', '수박', '포기김치']"
89,2016-06-15,"['오이도라지생채', '잡곡밥', '계란말이', '해물청경채볶음', '닭개장', '포기김치', '쌀밥']"
90,2016-06-16,"['치킨핑거*요거트D', '떡볶이', '냉모밀국수', '유부초밥', '포기김치', '스틱단무지']"
91,2016-06-17,"['치커리유자무침', '잡곡밥', '소고기미역국', '유산슬', '해물가스*탈탈소스', '포기김치', '쌀밥']"
92,2016-06-20,"['쇠불고기', '부추생채', '잡곡밥', '호박잎찌개', '두부계란부침', '포기김치', '쌀밥']"
93,2016-06-21,"['맑은국', '단무지', '콘샐러드', '비빔국수', '찐햇감자', '포기김치', '김밥']"
94,2016-06-22,"['잡곡밥', '연근땅콩조림', '닭곰탕', '브로컬리초장', '포기김치', '찹쌀순대볶음', '쌀밥']"
95,2016-06-23,"['작은밥', '양송이스프', '맑은국', '깍두기', '쇠고기퀘사디아', '음료', '오이피클', '토마토스파게티']"
96,2016-06-24,"['버섯메밀전', '순두부찌개', '잡곡밥', '해물누룽지탕', '미역줄기', '포기김치', '쌀밥']"
97,2016-06-27,"['주꾸미초무침', '깍두기', '잡곡밥', '파래김*양념장', '모둠장조림', '김치찌개', '쌀밥']"
98,2016-06-28,"['짜장소스', '탕수만두', '계란국', '단무지', '볶음밥', '슈크림', '포기김치', '멕시칸샐러드']"
99,2016-06-29,"['비엔나컬리플라워볶음', '청국장찌개', '잡곡밥', '아귀콩나물찜', '포기김치', '우엉조림', '쌀밥']"
100,2016-06-30,"['김치말이국수', '토마토', '알타리김치', '주먹밥', '견과류조림', '감자버터구이']"
101,2016-07-01,"['차돌박이된장찌개', '잡곡밥', '옥수수전', '깐풍기', '도토리묵무침', '포기김치', '쌀밥']"
102,2016-07-04,"['궁중떡찜', '열무된장국', '잡곡밥', '닭볶음탕', '참나물', '포기김치', '쌀밥']"
103,2016-07-05,"['또띠아칩', '맑은국', '굴소스파인볶음밥', '쫄면무침', '단무지', '탕수어', '포기김치']"
104,2016-07-06,"['잡곡밥', '오징어볶음', '청경채겉절이', '새우까스*탈탈소스', '포기김치', '쌀밥', '시금치국']"
105,2016-07-07,"['깍두기', '단호박스프', '잡곡밥', '음료', '양배추피클', '옥수수감자범벅', '함박스테이크', '쌀밥']"
106,2016-07-08,"['김구이', '동그랑땡전', '알탕', '잡곡밥', '고추잡채*꽃빵', '포기김치', '쌀밥']"
107,2016-07-11,"['잡곡밥', '고기전', '가자미튀김', '부대찌개', '포기김치', '오이지', '쌀밥']"
108,2016-07-12,"['단무지무침', '수제핫도그', '볶음밥', '쌀국수', '홍시드레싱샐러드', '포기김치']"
109,2016-07-13,"['쇠고기샤브국', '잡곡밥', '베이컨계란말이', '황태양념구이', '포기김치', '콩나물무침', '쌀밥']"
110,2016-07-14,"['무초절임', '멸치주먹밥', '찐옥수수', '과일샐러드', '포기김치', '물냉면']"
111,2016-07-15,"['어묵볶음', '오징어국', '아삭고추무침', '잡곡밥', '쇠고기장조림', '포기김치', '쌀밥']"
112,2016-07-18,"['온두부', '고등어카레구이', '잡곡밥', '비엔나감자볶음', '김치볶음', '느타리버섯국', '쌀밥']"
113,2016-07-19,"['콩나물밥', '실곤약초무침', '맑은국', '참외', '츄러스', '포기김치', '너비아니*부추생채']"
114,2016-07-20,"['치킨핑거', '버섯메밀전', '가지나물', '잡곡밥', '포기김치', '동태찌개', '쌀밥']"
115,2016-07-21,"['볶음밥*자장소스', '크랜베리단호박샐러드', '유산슬', '단무지', '계란파국', '포기김치']"
116,2016-07-22,"['열무김치', '잡곡밥', '옥수수전', '돈육김치찌개', '깐풍기', '콩나물무침', '쌀밥']"
117,2016-07-25,"['메밀비빔국수', '잡곡밥', '돈까스', '꽈리고추어묵조림', '포기김치', '쌀밥', '콩가루배추국']"
118,2016-07-26,"['알타리김치', '오징어무침', '타코야끼', '충무김밥', '열대과일샐러드', '잔치국수']"
119,2016-07-27,"['모둠버섯볶음', '열무김치', '잡곡밥', '닭볶음탕', '쌀밥', '치커리사과무침', '어묵국']"
120,2016-07-28,"['맑은국', '연두부*양념', '음료', '카레라이스', '핫도그', '포기김치', '순대야채볶음']"
121,2016-07-29,"['아욱국', '해물파전', '잡곡밥', '등뼈묵은지찜', '포기김치', '쑥갓두부무침', '쌀밥']"
122,2016-08-01,"['양배추쌈*쌈장', '콩나물국', '잡곡밥', '날치알계란찜', '소불고기', '포기김치', '쌀밥']"
123,2016-08-02,"['가자미찜', '머위대나물', '알타리김치', '짬뽕수제비국', '잡곡밥', '모둠장조림', '쌀밥']"
124,2016-08-03,"['참외', '주먹밥', '냉모밀국수', '단무지', '소고기퀘사디아', '포기김치', '락교']"
125,2016-08-04,"['오므라이스', '양장피잡채', '떡볶이', '가쯔오장국', '무피클', '포기김치']"
126,2016-08-05,"['잡곡밥', '두부구이*양념장', '청경채겉절이', '쇠고기무국', '쭈꾸미볶음', '포기김치', '쌀밥']"
127,2016-08-08,"['탕평채', '잡곡밥', '찜닭', '부추무침', '북어국', '포기김치', '쌀밥']"
128,2016-08-09,"['작은밥', '열무김치', '찐감자', '오복지', '수박', '콩국수', '멕시칸샐러드']"
129,2016-08-10,"['단배추나물', '잡곡밥', '옥수수전', '해물청경채볶음', '닭개장', '포기김치', '쌀밥']"
130,2016-08-11,"['크림스프', '치킨텐더', '음료', '수제피클', '마늘바게뜨', '볶음밥', '포기김치', '스파게티']"
131,2016-08-12,"['알타리김치', '모듬소세지구이', '삼치된장구이', '잡곡밥', '숙주나물', '김치찌개', '쌀밥']"
132,2016-08-16,"['미소장국', '김밥볶음밥', '주스', '찐옥수수', '과일샐러드', '포기김치', '비빔야채만두']"
133,2016-08-17,"['돈육굴소스볶음', '무말랭이무침', '열무김치', '잡곡밥', '날치알계란찜', '쌀밥', '콩비지찌개']"
134,2016-08-18,"['왕새우튀김', '유부초밥', '단무지', '포도', '김치우동', '포기김치']"
135,2016-08-19,"['감자카레볶음', '된장찌개', '훈제오리', '잡곡밥', '무쌈', '가지나물', '양파절임', '포기김치', '쌀밥']"
136,2016-08-22,"['잡곡밥', '돈육볶음', '볼어묵조림', '양배추쌈', '무채국', '포기김치', '쌀밥']"
137,2016-08-23,"['허니버터옥수수', '유부장국', '닭가슴살장조림', '단무지무침', '음료', '김치볶음밥', '포기김치']"
138,2016-08-24,"['알타리김치', '해파리냉채', '등갈비김치찜', '감자국', '잡곡밥', '잔멸치볶음', '쌀밥']"
139,2016-08-25,"['작은밥', '열무김치', '마늘쫑무침', '단호박조림', '춘권', '콩국수']"
140,2016-08-26,"['잡곡밥', '메밀전병만두', '콩나물냉국', '미역레몬초무침', '주꾸미볶음', '포기김치', '쌀밥']"
141,2016-08-29,"['잡곡밥', '새송이버섯전', '도라지오이생채', '차돌박이찌개', '포기김치', '닭갈비', '쌀밥']"
142,2016-08-30,"['쫄면', '맑은국', '망고드레싱샐러드', '수제고로케*케찹', '굴소스해물볶음밥', '비트무절임', '포기김치']"
143,2016-08-31,"['청국장찌개', '해초무침', '잡곡밥', '깐풍육', '황태양념구이', '포기김치', '쌀밥']"
144,2016-09-01,"['절인고추', '스프', '고구마치즈구이', '참치주먹밥', '로제파스타', '요플레', '포기김치', '오이피클']"
145,2016-09-02,"['알타리김치', '알탕', '새싹두부구이', '잡곡밥', '노각무침', '돈육장조림', '쌀밥']"
146,2016-09-05,"['호박나물', '잡곡밥', '제육볶음', '포기김치', '쌀밥', '실곤약흑임자무침', '어묵국']"
147,2016-09-06,"['짜장소스', '유부장국', '단무지', '볶음밥', '포기김치', '찹쌀도너츠', '멕시칸샐러드']"
148,2016-09-07,"['열무김치', '잡곡밥', '얼갈이된장국', '김치녹두전', '닭오븐구이', '셀프무쌈말이', '쌀밥']"
149,2016-09-08,"['꽃맛살샐러드', '새우까스*타르타르', '오복지', '잔치국수', '포기김치', '김밥']"
150,2016-09-09,"['미트볼케찹조림', '양념깻잎지', '잡곡밥', '자반고등어구이', '쇠고기미역국', '포기김치', '쌀밥']"
151,2016-09-12,"['단무지무침', '미니햄버거', '요플레', '볶음밥', '쌀국수', '포기김치']"
152,2016-09-13,"['참치김치찌개', '치커리유자무침', '열무김치', '모듬묵*양념장', '잡곡밥', '주꾸미볶음', '쌀밥']"
153,2016-09-19,"['깍두기', '탕평채', '잡곡밥', '수제비국', '치커리사과무침', '쌀밥']"
154,2016-09-20,"['콩나물밥', '맑은국', '장어강정', '마늘쫑볶음', '포도주스', '포기김치']"
155,2016-09-21,"['고추장찌개', '해물파전', '잡곡밥', '오이맛살초무침', '쇠고기모둠장조림', '포기김치', '쌀밥']"
156,2016-09-22,"['꼬지어묵우동', '유부초밥', '단무지', '맛탕', '포기김치', '모듬떡볶이']"
157,2016-09-23,"['콩나물국', '잡곡밥', '수제돈까스', '콘샐러드', '통도라지구이', '포기김치', '미역무침', '쌀밥']"
158,2016-09-26,"['잡곡밥', '청경채생채', '두부계란부침', '갈치조림', '포기김치', '무채맑은국', '쌀밥']"
159,2016-09-27,"['미소장국', '또띠아칩', '쇠고기숙주규동덮밥', '배추겉절이', '무피클', '탕수어']"
160,2016-09-28,"['홍어채무침', '유채나물', '조갯살미역국', '잡곡밥', '포기김치', '미니채소떡갈비', '쌀밥']"
161,2016-09-29,"['석박지', '오징어무침', '충무김밥', '단무지', '군고구마', '잔치국수']"
162,2016-09-30,"['매운어묵볶음', '근대된장국', '잡곡밥', '돈육강정', '계란찜', '포기김치', '쌀밥']"
163,2016-10-04,"['해파리냉채', '잡곡밥', '닭볶음', '상추치커리무침', '포기김치', '쌀밥', '콩비지찌개']"
164,2016-10-05,"['실곤약초무침', '미니함박조림', '취나물', '순두부찌개', '잡곡밥', '포기김치', '쌀밥']"
165,2016-10-06,"['작은밥', '군만두', '짬뽕', '단무지', '과일샐러드', '포기김치']"
166,2016-10-07,"['알타리김치', '육개장', '코다리엿장조림', '아삭고추무침', '잡곡밥', '옥수수전', '쌀밥']"
167,2016-10-10,"['삼치조림', '돈육굴소스볶음', '콩나물국', '잡곡밥', '상추초무침', '포기김치', '쌀밥']"
168,2016-10-11,"['미소장국', '옥수수맛탕', '궁중떡볶음', '김치볶음밥', '무피클', '포기김치']"
169,2016-10-12,"['황태국', '도라지초무침', '잡곡밥', '닭오븐구이', '비엔나감자볶음', '포기김치', '쌀밥']"
170,2016-10-13,"['어묵우동', '통새우김밥', '단무지무침', '요플레', '포기김치', '찹쌀순대볶음']"
171,2016-10-14,"['알타리김치', '양념깻잎지', '잡곡밥', '두부새싹구이', '부대찌개', '탕수어', '쌀밥']"
172,2016-10-17,"['잡곡밥', '닭매운찜', '해물된장찌개', '고기전', '참나물땅콩무침', '포기김치', '쌀밥']"
173,2016-10-18,"['꽃맛살샐러드', '개성감자만두', '음료', '참치주먹밥', '나가사키면&김', '포기김치']"
174,2016-10-19,"['돼지갈비찜', '잡곡밥', '콩자반', '오징어&브로컬리숙회', '포기김치', '쌀밥', '어묵국']"
175,2016-10-20,"['옛날왕돈까스', '옥수수스프', '감자치즈오븐구이', '포기김치', '오이피클', '샐러드파스타']"
176,2016-10-21,"['두부양념조림', '잡곡밥', '파래김*장', '해물청경채볶음', '닭개장', '포기김치', '쌀밥']"
177,2016-10-24,"['유채나물', '닭강정', '해파리냉채', '잡곡밥', '북어계란국', '포기김치', '쌀밥']"
178,2016-10-25,"['오므라이스', '메추리알조림', '가쯔오장국', '고구마맛탕', '훈제오리냉채', '포기김치', '오렌지']"
179,2016-10-26,"['가자미찜', '취나물', '쇠고기샤브국', '잡곡밥', '진미채무침', '포기김치', '쌀밥']"
180,2016-10-27,"['핫도그&케찹', '잡곡밥', '유산슬', '배추겉절이', '바지락수제비', '멕시칸샐러드', '쌀밥']"
181,2016-10-28,"['마파두부', '떡갈비조림', '오징어국', '잡곡밥', '비트무생채', '포기김치', '쌀밥']"
182,2016-10-31,"['잡곡밥', '참나물', '삼치구이', '부대찌개', '포기김치', '돈육잡채', '쌀밥']"
183,2016-11-01,"['해물짬뽕', '군만두', '짜장덮밥', '단무지', '과일샐러드', '포기김치']"
184,2016-11-02,"['알타리김치', '청국장찌개', '동파삼겹수육', '잡곡밥', '마늘쫑볶음', '얼갈이겉절이', '쌀밥']"
185,2016-11-03,"['미소장국', '새우또띠아', '음료', '콘샐러드', '참치회덮밥', '포기김치', '락교']"
186,2016-11-04,"['돈육굴소스볶음', '순두부찌개', '잡곡밥', '황태양념구이', '숙주나물', '포기김치', '쌀밥']"
187,2016-11-07,"['실곤약초무침', '깍두기', '잡곡밥', '목살김치찌개', '비엔나감자볶음', '가자미튀김', '쌀밥']"
188,2016-11-08,"['꽃맛살샐러드', '맑은국', '언양식불고기', '낙지볶음덮밥', '군고구마', '포기김치']"
189,2016-11-09,"['석박지', '잡곡밥', '두부양념찜', '고등어양념구이', '뼈해장국', '숙주나물', '쌀밥']"
190,2016-11-10,"['계란국', '음료', '단무지', '해물볶음우동', '포기김치', '비빔야채만두', '김밥']"
191,2016-11-11,"['미트볼떡조림', '단배추나물', '잡곡밥', '닭곰탕', '도토리묵무침', '포기김치', '쌀밥']"
192,2016-11-14,"['알타리김치', '매운돼지갈비찜', '메추리알곤약조림', '아삭고추무침', '콩나물국', '잡곡밥', '쌀밥']"
193,2016-11-15,"['미소장국', '미니햄버거', '주스', '굴소스해물볶음밥', '배추겉절이', '쫄면야채무침', '수제오이피클']"
194,2016-11-16,"['잡곡밥', '수제돈까스', '통도라지구이', '시금치나물', '포기김치', '동태찌개', '쌀밥']"
195,2016-11-17,"['떡볶이', '생선초밥', '우동', '포기김치', '락교', '하와이안샐러드']"
196,2016-11-18,"['김구이', '육개장', '잡곡밥', '해파리겨자채', '탕수어', '포기김치', '쌀밥']"
197,2016-11-21,"['황태국', '등갈비김치찜', '깍두기', '궁중떡볶음', '잡곡밥', '가지나물', '쌀밥']"
198,2016-11-22,"['마늘쫑장아찌', '팽이장국', '후난식볶음밥', '새우까스*탈탈소스', '포기김치', '찹쌀순대볶음']"
199,2016-11-23,"['상추겉절이', '잡곡밥', '소고기미역국', '고기전', '쭈꾸미볶음', '포기김치', '쌀밥']"
200,2016-11-24,"['또띠아피자', '브로컬리꽃맛살샐러드', '멸치주먹밥', '무피클', '잔치국수', '포기김치']"
201,2016-11-25,"['취나물', '요구르트', '장어강정', '된장찌개', '잡곡밥', '옥수수전', '포기김치', '쌀밥']"
202,2016-11-28,"['닭강정', '시금치된장국', '꽁치한마리구이', '잡곡밥', '겨울초겉절이', '포기김치', '쌀밥']"
203,2016-11-29,"['짬뽕', '참치주먹밥', '푸딩', '야채튀김', '홍시드레싱샐러드', '포기김치']"
204,2016-11-30,['없음']
205,2016-12-01,"['미소장국', '수제고로케*케찹', '단무지', '갈비만두', '김치볶음밥', '봄동겉절이']"
206,2016-12-02,"['미니함박조림', '오징어국', '오이사과생채', '연두부*양념장', '잡곡밥', '포기김치', '쌀밥']"
207,2016-12-05,"['포기김치', '코다리엿장조림', '잡곡밥', '매운감자국', '치커리단감무침', '쌀밥', '소고기숙주볶음']"
208,2016-12-06,"['음료', '유부초밥', '오이양배추피클', '단호박조림', '핫도그', '쌀국수', '포기김치']"
209,2016-12-07,"['취나물', '잡곡밥', '유린기', '잔멸치볶음', '부대찌개', '포기김치', '쌀밥']"
210,2016-12-08,"['단무지무침', '계란국', '해물볶음우동', '과일샐러드', '포기김치', '김밥']"
211,2016-12-09,"['모듬묵*양념장', '잡곡밥', '열무된장나물', '주꾸미볶음', '쇠고기무국', '포기김치', '쌀밥']"
212,2016-12-12,"['대구지리', '동그랑땡전', '잡곡밥', '유산슬', '도토리묵무침', '포기김치', '쌀밥']"
213,2016-12-13,"['양송이스프', '새우또띠아', '주먹밥', '음료', '포기김치', '오이피클', '토마토스파게티']"
214,2016-12-14,"['간장찜닭', '잡곡밥', '녹두전(김치)', '무생채', '포기김치', '매생이굴국', '쌀밥']"
215,2016-12-15,"['오므라이스', '해물떡볶이', '팽이장국', '식혜', '호빵', '봄동겉절이', '포기김치']"
216,2016-12-16,"['등갈비김치찜', '석박지', '들깨버섯무침', '잡곡밥', '숙주나물', '미역국', '쌀밥']"
217,2016-12-19,"['육개장', '호박나물', '잡곡밥', '쫄면야채무침', '탕수어', '포기김치', '쌀밥']"
218,2016-12-20,"['석박지', '오징어무침', '충무김밥', '고구마치즈구이', '잔치국수', '스틱단무지']"
219,2016-12-21,"['도라지초무침', '알탕', '해물파전', '잡곡밥', '돈육장조림', '포기김치', '쌀밥']"
220,2016-12-22,"['작은밥', '메추리알조림', '배추겉절이', '바지락수제비', '사천식탕수육', '귤']"
