일자,년,월,일,요일,휴일전날,중식메뉴,석식메뉴
2016-05-10,2016,5,10,1,0,"['버섯불고기', '콩나물국', '오징어초무침', '시금치나물', '잡곡밥', '쌀밥', '포기김치']","['찹쌀순대볶음', '감자만두', '김치볶음밥', '가쯔오국', '계란', '바나나', '포기김치']"
2016-05-11,2016,5,11,2,0,"['가지나물', '단호박영양밥', '멸치크랜베리볶음', '돈육칠리강정', '포기김치', '시래기된장국']","['양념깻잎지', '콩비지찌개', '해물누룽지탕', '잡곡밥', '쌀밥', '열무김치', '치즈계란말이']"
2016-05-12,2016,5,12,3,0,"['오징어국', '찜닭', '잡곡밥', '쌀밥', '꽃맛살볶음', '통도라지구이', '포기김치']","['컵주스', '잔치국수', '돈까스김밥', '멕시칸샐러드', '마늘쫑무침', '포기김치']"
2016-05-13,2016,5,13,4,0,"['매운돼지갈비찜', '된장찌개', '배추겉절이', '잡곡밥', '쌀밥', '해물파전', '치커리유자생채']","['쇠고기무국', '잡채', '잡곡밥', '쌀밥', '얼갈이나물', '포기김치', '코다리강정']"
2016-05-16,2016,5,16,0,0,"['계란찜', '꽃상추무침', '감자고추장찌개', '돈육굴소스볶음', '잡곡밥', '쌀밥', '포기김치']","['두부계란부침', '주꾸미볶음', '부추생채', '닭곰탕', '잡곡밥', '쌀밥', '포기김치']"
2016-05-17,2016,5,17,1,0,"['고기전', '깍두기', '들깨버섯탕', '잡곡밥', '쌀밥', '비름나물', '고등어김치말이']","['유부초밥', '우동', '또띠아칩', '군만두', '오렌지', '포기김치', '떡볶이']"
2016-05-18,2016,5,18,2,0,"['요플레', '미소장국', '연근땅콩조림', '산채비빔밥', '치킨핑거', '포기김치']","['시금치무침', '뼈해장국', '황태양념구이', '메추리알조림', '잡곡밥', '쌀밥', '석박지']"
2016-05-19,2016,5,19,3,0,"['열무된장국', '숙주나물', '잡곡밥', '쌀밥', '골뱅이무침*소면', '미니채소떡갈비', '포기김치']","['콩나물무침', '슈크림', '사천식탕수육', '팽이장국', '새우살볶음밥', '포기김치']"
2016-05-20,2016,5,20,4,0,"['닭오븐구이', '새송이버섯전', '불미나리무침', '순두부찌개', '잡곡밥', '쌀밥', '포기김치']","['꽁치허브구이', '잡곡밥', '쌀밥', '비엔나케찹볶음', '육개장', '포기김치', '참나물무침']"
2016-05-23,2016,5,23,0,0,"['오이무침', '옥수수전', '잡곡밥', '쇠고기불고기', '쌀밥', '포기김치', '북어콩나물국']","['데리야끼파닭', '수제비국', '잡곡밥', '쌀밥', '새송이버섯볶음', '포기김치', '아삭고추무침']"
2016-05-24,2016,5,24,1,0,"['치커리생채', '꼬지삼색전', '한방갈비탕', '잡곡밥', '쌀밥', '오징어숙회무침', '석박지']","['락교', '방울토마토', '참치회덮밥', '고구마치즈구이', '맑은국', '포기김치']"
2016-05-25,2016,5,25,2,0,"['탕수어', '낙지볶음밥', '우엉조림', '매실주스', '미역장국', '포기김치']","['해물까스*탈탈소스', '된장찌개', '도라지나물', '등갈비김치찜', '잡곡밥', '쌀밥', '오이소박이']"
2016-05-26,2016,5,26,3,0,"['비엔나감자볶음', '갈치구이', '쇠고기해장국', '잡곡밥', '쌀밥', '무생채', '포기김치']","['과일샐러드', '짜장잡채밥', '계란파국', '춘권*칠리소스', '쨔샤이무침', '포기김치']"
2016-05-27,2016,5,27,4,0,"['깍두기', '닭양념조림', '고구마순나물', '동그랑땡전', '잡곡밥', '쌀밥', '배추된장국']","['돈육청경채볶음', '연두부*새싹장', '꽃게탕', '잡곡밥', '쌀밥', '포기김치', '계란말이']"
2016-05-30,2016,5,30,0,0,"['오이도라지생채', '잡곡밥', '쌀밥', '명태조림', '누룽지탕수육', '콩나물김치국', '포기김치']","['미니함박조림', '숙주나물', '해물순두부찌개', '잡곡밥', '쌀밥', '도토리묵무침', '포기김치']"
2016-05-31,2016,5,31,1,0,"['잡채', '닭갈비', '잡곡밥', '쌀밥', '근대된장국', '포기김치', '깻잎양념지']","['무피클', '꽃맛살샐러드', '참치주먹밥', '쌀국수', '포기김치', '수제고로케*케찹']"
2016-06-01,2016,6,1,2,0,"['궁중떡볶이', '열무비빔밥', '강된장찌개', '음료', '포기김치', '오징어튀김']","['양배추쌈', '감자채햄볶음', '어묵국', '잡곡밥', '쌀밥', '포기김치', '고추장불고기']"
2016-06-02,2016,6,2,3,0,"['오이미역냉국', '두부구이', '실곤약초무침', '잡곡밥', '쌀밥', '모둠장조림', '포기김치']","['땅콩조림', '배추겉절이', '날치알볶음밥', '고추잡채*꽃빵', '오렌지', '유부장국']"
2016-06-03,2016,6,3,4,1,"['차돌박이찌개', '찜닭', '잡곡밥', '쌀밥', '머위대나물', '포기김치', '김치전']","['수제돈까스', '시래기국', '주꾸미무침', '잡곡밥', '쌀밥', '단호박범벅', '오이피클', '포기김치']"
2016-06-07,2016,6,7,1,0,"['홍어채무침', '돈육굴소스볶음', '북어계란국', '가지나물', '잡곡밥', '쌀밥', '포기김치']","['가쯔오장국', '계란찜', '콩나물밥*양념장', '미트볼케찹조림', '마늘쫑무침', '포기김치']"
2016-06-08,2016,6,8,2,0,"['깍두기', '순살깐풍기', '브로컬리초장', '잡곡밥', '쌀밥', '맛살콩나물냉채', '참치김치찌개']","['상추겉절이', '잡곡밥', '쌀밥', '자반고등어구이', '육개장', '우엉잡채', '포기김치']"
2016-06-09,2016,6,9,3,0,"['부추전', '매운콩나물국', '돼지갈비찜', '잡곡밥', '쌀밥', '비름나물', '포기김치']","['열무물국수', '야채튀김', '오징어무침', '방울토마토', '충무김밥', '석박지']"
2016-06-10,2016,6,10,4,0,"['모둠소시지구이', '된장찌개', '오징어볶음', '잡곡밥', '쌀밥', '포기김치', '치커리사과무침']","['두부조림', '버섯불고기', '참나물', '어묵국', '잡곡밥', '쌀밥', '포기김치']"
2016-06-13,2016,6,13,0,0,"['모둠쌈', '제육볶음', '참치야채전', '잡곡밥', '쌀밥', '포기김치', '북어콩나물국']","['들깨버섯탕', '햄맛살볶음', '삼치데리야끼구이', '잡곡밥', '쌀밥', '포기김치', '아삭고추무침']"
2016-06-14,2016,6,14,1,0,"['닭양념조림', '탕평채', '잡곡밥', '쌀밥', '배추된장국', '열무김치', '어묵볶음']","['미소장국', '군만두', '수박', '훈제오리냉채', '포기김치', '오므라이스']"
2016-06-15,2016,6,15,2,0,"['카레덮밥', '쫄면무침', '열무된장나물', '포기김치', '맑은국', '떡갈비조림']","['오이도라지생채', '닭개장', '잡곡밥', '쌀밥', '포기김치', '계란말이', '해물청경채볶음']"
2016-06-16,2016,6,16,3,0,"['고기전', '깍두기', '부대찌개', '해초무침', '잡곡밥', '쌀밥', '가자미양념찜']","['치킨핑거*요거트D', '유부초밥', '냉모밀국수', '스틱단무지', '포기김치', '떡볶이']"
2016-06-17,2016,6,17,4,0,"['돈육강정', '꽃게탕', '잡곡밥', '쌀밥', '버섯잡채', '김구이', '포기김치']","['소고기미역국', '치커리유자무침', '해물가스*탈탈소스', '잡곡밥', '쌀밥', '포기김치', '유산슬']"
2016-06-20,2016,6,20,0,0,"['레몬탕수육', '시금치나물', '어묵국', '잡곡밥', '쌀밥', '포기김치', '명태엿장조림']","['두부계란부침', '부추생채', '잡곡밥', '쌀밥', '쇠불고기', '호박잎찌개', '포기김치']"
2016-06-21,2016,6,21,1,0,"['치킨무', '간장치킨', '대구찌개', '오이무침', '마늘쫑볶음', '잡곡밥', '쌀밥', '포기김치']","['비빔국수', '콘샐러드', '단무지', '찐햇감자', '김밥', '맑은국', '포기김치']"
2016-06-22,2016,6,22,2,0,"['콩나물파채무침', '돈삼겹보쌈', '시래기국', '상추쌈', '새송이버섯전', '잡곡밥', '쌀밥', '포기김치']","['찹쌀순대볶음', '연근땅콩조림', '브로컬리초장', '닭곰탕', '잡곡밥', '쌀밥', '포기김치']"
2016-06-23,2016,6,23,3,0,"['쇠고기무국', '메추리알조림', '숙주나물', '잡곡밥', '쌀밥', '매콤낙지볶음', '포기김치']","['쇠고기퀘사디아', '깍두기', '작은밥', '음료', '맑은국', '토마토스파게티', '양송이스프', '오이피클']"
2016-06-24,2016,6,24,4,0,"['골뱅이무침&소면', '목살데리야끼구이', '간장깻잎지', '잡곡밥', '쌀밥', '도토리묵냉국', '포기김치']","['미역줄기', '해물누룽지탕', '순두부찌개', '잡곡밥', '쌀밥', '포기김치', '버섯메밀전']"
2016-06-27,2016,6,27,0,0,"['실곤약초무침', '쌈무', '훈제오리구이', '잡곡밥', '쌀밥', '배추된장국', '야채스틱', '포기김치']","['김치찌개', '깍두기', '주꾸미초무침', '잡곡밥', '쌀밥', '모둠장조림', '파래김*양념장']"
2016-06-28,2016,6,28,1,0,"['고등어구이', '닭가슴살냉채', '잡곡밥', '쌀밥', '마늘쫑무침', '육개장', '포기김치']","['계란국', '단무지', '슈크림', '멕시칸샐러드', '짜장소스', '탕수만두', '포기김치', '볶음밥']"
2016-06-29,2016,6,29,2,0,"['상추겉절이', '콩나물국', '잡곡밥', '쌀밥', '포기김치', '간장돼지갈비찜', '계란말이']","['비엔나컬리플라워볶음', '청국장찌개', '잡곡밥', '쌀밥', '우엉조림', '아귀콩나물찜', '포기김치']"
2016-06-30,2016,6,30,3,0,"['닭오븐구이', '잡곡밥', '쌀밥', '열무김치', '버섯들깨찌개', '치커리사과무침', '김치전']","['주먹밥', '알타리김치', '견과류조림', '토마토', '김치말이국수', '감자버터구이']"
2016-07-01,2016,7,1,4,0,"['수제비국', '잡곡밥', '쌀밥', '두부새싹구이', '유자청제육볶음', '양배추쌈*쌈장', '포기김치']","['차돌박이된장찌개', '깐풍기', '잡곡밥', '쌀밥', '옥수수전', '도토리묵무침', '포기김치']"
2016-07-04,2016,7,4,0,0,"['버섯불고기', '감자고추장찌개', '잡곡밥', '쌀밥', '노각무침', '맛살겨자초무침', '포기김치']","['닭볶음탕', '열무된장국', '참나물', '궁중떡찜', '잡곡밥', '쌀밥', '포기김치']"
2016-07-05,2016,7,5,1,0,"['쇠고기미역국', '배추겉절이', '모둠소세지구이', '꽁치김치말이찜', '잡곡밥', '쌀밥', '비름나물']","['탕수어', '또띠아칩', '단무지', '쫄면무침', '굴소스파인볶음밥', '맑은국', '포기김치']"
2016-07-06,2016,7,6,2,0,"['가쯔오장국', '곤드레밥', '통도라지구이', '해물파전', '닭강정', '포기김치']","['새우까스*탈탈소스', '청경채겉절이', '시금치국', '오징어볶음', '잡곡밥', '쌀밥', '포기김치']"
2016-07-07,2016,7,7,3,0,"['된장찌개', '갈치조림', '오이생채', '잡곡밥', '쌀밥', '돈육잡채', '포기김치']","['함박스테이크', '깍두기', '잡곡밥', '쌀밥', '양배추피클', '단호박스프', '옥수수감자범벅', '음료']"
2016-07-08,2016,7,8,4,0,"['갈릭돈까스', '영양부추', '알타리김치', '잡곡밥', '쌀밥', '우무묵냉국', '감자볶음']","['고추잡채*꽃빵', '잡곡밥', '쌀밥', '동그랑땡전', '알탕', '김구이', '포기김치']"
2016-07-11,2016,7,11,0,0,"['홍어채무침', '돈육굴소스볶음', '모듬쌈*쌈장', '잡곡밥', '쌀밥', '호박잎찌개', '포기김치']","['고기전', '오이지', '부대찌개', '가자미튀김', '잡곡밥', '쌀밥', '포기김치']"
2016-07-12,2016,7,12,1,0,"['도라지나물', '잡곡밥', '쌀밥', '건새우아욱국', '꽃맛살볶음', '순살파닭', '포기김치']","['단무지무침', '홍시드레싱샐러드', '수제핫도그', '포기김치', '쌀국수', '볶음밥']"
